threshold,dropout,ate_mean,ate_std,anis_mean,gate_frac_mean,nis_ok
3.0,0.0,0.0861698179831755,0.002741210713643976,3.856934719516933,0.7435999999999999,False
3.0,0.3,0.08663586092399896,0.0024245549994048763,2.9140090694477343,0.6059489378023974,False
3.0,0.5,0.08647128844869215,0.0028214180340419164,2.158116091548382,0.47192804740148586,False
5.0,0.0,0.07633764130889445,0.002174892461700113,2.3421337106208653,0.4508500000000001,False
5.0,0.3,0.08442779306559468,0.0025521316397368976,2.5692302853071363,0.4471487079122469,False
5.0,0.5,0.08601162343009304,0.0027795020371081326,2.0982954788775396,0.34952934212521647,False
7.0,0.0,0.06642669402175724,0.0018218711686797215,1.2076013917424773,0.1375,True
7.0,0.3,0.07957623271481216,0.002520419821812885,1.947184309101973,0.2672689467757469,False
7.0,0.5,0.08494639588344441,0.00275490777154506,1.9605391242950798,0.2577162101233049,False
9.0,0.0,0.06405057758291434,0.001617935194383218,0.9879433940155172,0.05550000000000001,True
9.0,0.3,0.07569667496679258,0.0024239196406483947,1.4923946002202821,0.13866726179282965,False
9.0,0.5,0.08380324917869013,0.002863167153502879,1.8254530865470262,0.1877192970191378,False
11.345,0.0,0.06280288309543997,0.0013866723714401302,0.8893666080514757,0.0211,True
11.345,0.3,0.07332562058666846,0.002196156311059062,1.2479239303353404,0.07163021837855374,True
11.345,0.5,0.08253342403362611,0.0028516140715236287,1.670898417853212,0.1253019033335588,False
15.0,0.0,0.06225272479353988,0.0013858887141261307,0.8470176157270164,0.007200000000000001,True
15.0,0.3,0.07153874430451511,0.001955843998575826,1.0888248594629428,0.029119201868911555,True
15.0,0.5,0.08095799516165522,0.003177479925169523,1.493507162200322,0.06791722672638015,False
20.0,0.0,0.06202429849576453,0.0013178162510368695,0.8280112573118867,0.002300000000000001,True
20.0,0.3,0.07065414433093353,0.001914328890965641,1.004930885083746,0.009932066804736963,True
20.0,0.5,0.07986945671628039,0.0031108327639982206,1.3739238703247363,0.03395262355640896,False
inf,0.0,0.061855521936772996,0.0013615500242010626,0.8169287101921757,0.0,True
inf,0.3,0.06999219323074782,0.0018759609270056182,0.9476667126658034,0.0,True
inf,0.5,0.07802535191377988,0.002874261556691688,1.185582554873535,0.0,True
