dropout,mace_mean,alt,alt_mean,p,cohens_d,n,winner
0.1,0.06555577661545894,Adaptive-EKF,0.06436468917493578,1.862645149230957e-09,0.7326115063799198,30,Adaptive-EKF
0.1,0.06555577661545894,Huber-EKF,0.06436468917493578,1.862645149230957e-09,0.7326115063799198,30,Huber-EKF
0.1,0.06555577661545894,Tukey-EKF,0.06442265894537104,1.862645149230957e-09,0.6989896782041483,30,Tukey-EKF
0.1,0.06555577661545894,ChiGate-EKF,0.03843388213760975,1.862645149230957e-09,1.9731279614160542,30,ChiGate-EKF
0.3,0.073038644604289,Adaptive-EKF,0.06995428444617072,1.862645149230957e-09,1.1251710422959407,30,Adaptive-EKF
0.3,0.073038644604289,Huber-EKF,0.06995428444617072,1.862645149230957e-09,1.1251710422959407,30,Huber-EKF
0.3,0.073038644604289,Tukey-EKF,0.07023027053059601,1.862645149230957e-09,1.053077029473046,30,Tukey-EKF
0.3,0.073038644604289,ChiGate-EKF,0.04205289288604698,1.862645149230957e-09,1.9675389543356911,30,ChiGate-EKF
0.5,0.0827728903983007,Adaptive-EKF,0.0780785322759956,1.862645149230957e-09,1.3499114899545495,30,Adaptive-EKF
0.5,0.0827728903983007,Huber-EKF,0.0780785322759956,1.862645149230957e-09,1.3499114899545495,30,Huber-EKF
0.5,0.0827728903983007,Tukey-EKF,0.07907860970960583,1.862645149230957e-09,1.1540437724933033,30,Tukey-EKF
0.5,0.0827728903983007,ChiGate-EKF,0.04719104859980907,1.862645149230957e-09,1.9681531212284755,30,ChiGate-EKF
0.7,0.08440293920018668,Adaptive-EKF,0.08370278781358377,1.862645149230957e-09,0.19184853449214434,30,Adaptive-EKF
0.7,0.08440293920018668,Huber-EKF,0.08370278781358377,1.862645149230957e-09,0.19184853449214434,30,Huber-EKF
0.7,0.08440293920018668,Tukey-EKF,0.0840693038336468,1.862645149230957e-09,0.09175187794354002,30,Tukey-EKF
0.7,0.08440293920018668,ChiGate-EKF,0.055679297228251316,1.862645149230957e-09,1.9389015909349039,30,ChiGate-EKF
