W,alpha,ate_mean,ate_std,anis_mean,nis_ok
5,0.05,0.05988512270285187,0.0015536732343850459,0.6845140907915815,False
5,0.1,0.06094389205083834,0.0015396588348586915,0.7491981485410985,True
5,0.2,0.06250617350512756,0.0015628107212082491,0.8471957981614439,True
10,0.05,0.06039580972926686,0.0015905499178506515,0.7217591055389315,False
10,0.1,0.06146488777256199,0.0016184292599310801,0.7927902392434727,True
10,0.2,0.06285865377269877,0.0017312389876974485,0.8998256704304362,True
20,0.05,0.06059383568620238,0.0015781321736738304,0.7413754425294877,True
20,0.1,0.061526360443024036,0.0016110190353111468,0.8119325888299552,True
20,0.2,0.0626815330867741,0.0016983723084953775,0.905356238544558,True
50,0.05,0.06038226030849514,0.001531637265340302,0.7377806754191126,True
50,0.1,0.06125425975387708,0.0015196213403263475,0.8055943684228891,True
50,0.2,0.061954894543103385,0.0016195678495250546,0.8703891692435247,True
